"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","Year_since_Release","Decade","Platform_Company","Platform_Gen","Family_Platform","Main_Developer","Developer_Country","Main_Publisher"
"Grand Theft Auto IV","PS3",2008,"Action","Take-Two Interactive",4.76,3.69,0.44,1.61,10.5,98,64,73,2833,"Rockstar North","M",8,"00s","SONY","7th Gen","SONY_PS","Other","Other","Sega"
"Call of Duty: Ghosts","X360",2013,"Shooter","Activision",6.73,2.56,0.04,0.91,10.25,73,29,24,2117,"Infinity Ward","M",3,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard"
"Just Dance 3","Wii",2011,"Misc","Ubisoft",5.95,3.11,0,1.06,10.12,74,15,76,16,"Ubisoft","E10+",5,"10s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft"
"New Super Mario Bros. 2","3DS",2012,"Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,78,70,70,424,"Nintendo","E",4,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Halo: Reach","X360",2010,"Shooter","Microsoft Game Studios",7.04,1.95,0.08,0.79,9.86,91,99,77,2045,"Bungie","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Final Fantasy VII","PS",1997,"Role-Playing","Sony Computer Entertainment",3.01,2.47,3.28,0.96,9.72,92,20,90,1282,"SquareSoft","T",19,"90s","SONY","5th Gen","SONY_PS","Square Enix","Japan","SONY"
"Halo 4","X360",2012,"Shooter","Microsoft Game Studios",6.65,2.28,0.04,0.74,9.71,87,87,68,3260,"343 Industries","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Gran Turismo 2","PS",1999,"Racing","Sony Computer Entertainment",3.88,3.42,1.69,0.5,9.49,93,23,88,135,"Polyphony Digital","T",17,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY"
"Just Dance 2","Wii",2010,"Misc","Ubisoft",5.8,2.85,0.01,0.78,9.44,74,24,71,24,"Ubisoft","E10+",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft"
"Call of Duty: Ghosts","PS3",2013,"Shooter","Activision",4.1,3.63,0.38,1.25,9.36,71,10,24,1047,"Infinity Ward","M",3,"10s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard"
"Call of Duty 4: Modern Warfare","X360",2007,"Shooter","Activision",5.93,2.36,0.13,0.9,9.31,94,70,82,1320,"Infinity Ward","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard"
"Animal Crossing: New Leaf","3DS",2012,"Simulation","Nintendo",2.03,2.36,4.39,0.39,9.16,88,70,85,626,"Nintendo","E",4,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Mario Party DS","DS",2007,"Misc","Nintendo",4.4,1.85,1.98,0.68,8.91,72,27,76,85,"Hudson Soft","E",9,"00s","Nintendo","7th Gen","Nintendo_DS","Other","Other","Nintendo"
"The Elder Scrolls V: Skyrim","X360",2011,"Role-Playing","Bethesda Softworks",5.05,2.79,0.1,0.85,8.79,96,89,82,3589,"Bethesda Game Studios","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other"
"FIFA 16","PS4",2015,"Sports","Electronic Arts",1.12,6.12,0.06,1.28,8.57,82,42,41,896,"EA Sports","E",1,"10s","SONY","8th Gen","SONY_PS","EA","US","EA"
"Halo 2","XB",2004,"Shooter","Microsoft Game Studios",6.82,1.53,0.05,0.08,8.49,95,91,80,1218,"Bungie Software","M",12,"00s","Microsoft","6th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Wii Party","Wii",2010,"Misc","Nintendo",1.75,3.47,2.49,0.67,8.38,68,42,72,54,"Nd Cube","E",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Nintendo"
"Mario Party 8","Wii",2007,"Misc","Nintendo",3.74,2.24,1.58,0.7,8.27,62,41,61,190,"Hudson","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Nintendo"
"FIFA Soccer 13","PS3",2012,"Action","Electronic Arts",1.06,5.01,0.13,1.97,8.16,88,37,64,348,"Electronic Arts","E",4,"10s","SONY","7th Gen","SONY_PS","EA","US","EA"
"Final Fantasy X","PS2",2001,"Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05,92,53,85,1056,"SquareSoft","T",15,"00s","SONY","6th Gen","SONY_PS","Square Enix","Japan","SONY"
"The Sims 3","PC",2009,"Simulation","Electronic Arts",0.99,6.42,0,0.6,8.01,86,75,74,886,"The Sims Studio","T",7,"00s","Microsoft","5th Gen","Misc","Other","Other","EA"
"Final Fantasy VIII","PS",1999,"Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86,90,24,84,644,"SquareSoft","T",17,"90s","SONY","5th Gen","SONY_PS","Square Enix","Japan","Square Enix"
"Pokémon Platinum Version","DS",2008,"Role-Playing","Nintendo",2.76,1.72,2.69,0.54,7.72,83,46,83,203,"Game Freak","E",8,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Grand Theft Auto: Liberty City Stories","PSP",2005,"Action","Take-Two Interactive",2.9,2.81,0.24,1.73,7.69,88,65,74,451,"Rockstar Leeds","M",11,"00s","SONY","7th Gen","SONY_PS","Other","Other","Sega"
"Call of Duty: Advanced Warfare","PS4",2014,"Shooter","Activision",2.81,3.48,0.14,1.23,7.66,83,39,55,1443,"Sledgehammer Games","M",2,"10s","SONY","8th Gen","SONY_PS","Other","Other","Activision Blizzard"
"FIFA 17","PS4",2016,"Sports","Electronic Arts",0.66,5.75,0.08,1.11,7.59,85,41,48,398,"EA Sports, EA Vancouver","E",0,"10s","SONY","8th Gen","SONY_PS","EA","US","EA"
"Super Mario Galaxy 2","Wii",2010,"Platform","Nintendo",3.56,2.35,0.98,0.62,7.51,97,87,89,1854,"Nintendo EAD Tokyo","E",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Call of Duty: World at War","X360",2008,"Shooter","Activision",4.81,1.88,0,0.69,7.38,84,84,74,580,"Treyarch","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Activision Blizzard","US","Activision Blizzard"
"Battlefield 3","X360",2011,"Shooter","Electronic Arts",4.46,2.11,0.06,0.69,7.32,84,57,72,2142,"EA DICE","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA"
"Need for Speed Underground","PS2",2003,"Racing","Electronic Arts",3.27,2.83,0.08,1.02,7.2,85,33,84,171,"EA Black Box","E",13,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"Just Dance","Wii",2009,"Misc","Ubisoft",3.48,2.99,0,0.73,7.2,49,21,78,110,"Ubisoft Paris","E10+",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft"
"Battlefield 3","PS3",2011,"Shooter","Electronic Arts",2.85,2.89,0.35,1.08,7.17,85,38,73,1761,"EA DICE","M",5,"10s","SONY","7th Gen","SONY_PS","EA","US","EA"
"Fallout 4","PS4",2015,"Role-Playing","Bethesda Softworks",2.53,3.27,0.24,1.13,7.16,87,58,63,4228,"Bethesda Game Studios","M",1,"10s","SONY","8th Gen","SONY_PS","Other","Other","Other"
"Tekken 3","PS",1998,"Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16,96,15,89,367,"Namco","T",18,"90s","SONY","5th Gen","SONY_PS","Namco","Japan","SONY"
"The Legend of Zelda: Twilight Princess","Wii",2006,"Action","Nintendo",3.74,2.14,0.6,0.68,7.15,95,73,88,1658,"Nintendo","T",10,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Crash Bandicoot 3: Warped","PS",1998,"Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13,91,12,87,432,"Naughty Dog","E",18,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY"
"Mario Kart 8","WiiU",2014,"Racing","Nintendo",3.15,2.15,1.28,0.51,7.09,88,82,89,1599,"Nintendo","E",2,"10s","Nintendo","8th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Super Smash Bros. Melee","GC",2001,"Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07,92,38,89,568,"HAL Labs","T",15,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"Need for Speed Underground 2","PS2",2004,"Racing","Electronic Arts",2.71,3.02,0.08,1.09,6.9,82,39,84,132,"EA Canada","E",12,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"Medal of Honor: Frontline","PS2",2002,"Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83,88,29,83,135,"EA LA","T",14,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"Just Dance 4","Wii",2012,"Misc","Ubisoft",4.05,2.16,0,0.55,6.76,74,10,71,28,"Ubisoft","E10+",4,"10s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft"
"Gears of War 2","X360",2008,"Shooter","Microsoft Game Studios",4.15,1.9,0.06,0.64,6.75,93,90,75,2739,"Epic Games","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Tencent","China","Microsoft"
"Uncharted 3: Drake's Deception","PS3",2011,"Action","Sony Computer Entertainment",2.77,2.75,0.19,1.03,6.74,92,97,81,3712,"Naughty Dog","T",5,"10s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Call of Duty 4: Modern Warfare","PS3",2007,"Shooter","Activision",3.11,2.26,0.28,1.03,6.68,94,44,82,993,"Infinity Ward","M",9,"00s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard"
"Uncharted 2: Among Thieves","PS3",2009,"Action","Sony Computer Entertainment",3.27,2.2,0.21,0.98,6.66,96,105,86,5187,"Naughty Dog","T",7,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Big Brain Academy","DS",2005,"Misc","Nintendo",1.66,2.75,1.6,0.62,6.62,74,45,72,27,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Red Dead Redemption","PS3",2010,"Action","Take-Two Interactive",2.79,2.53,0.17,0.99,6.49,95,73,86,2456,"Rockstar San Diego","M",6,"00s","SONY","7th Gen","SONY_PS","Other","Other","Sega"
"FIFA 14","PS3",2013,"Sports","Electronic Arts",0.78,4.24,0.07,1.37,6.47,86,37,41,576,"EA Canada","E",3,"10s","SONY","7th Gen","SONY_PS","EA","US","EA"
"Assassin's Creed III","PS3",2012,"Action","Ubisoft",2.64,2.52,0.16,1.12,6.45,85,41,67,1307,"Ubisoft","M",4,"10s","SONY","7th Gen","SONY_PS","Ubisoft","France","Ubisoft"
"Donkey Kong Country Returns","Wii",2010,"Platform","Nintendo",3.17,1.79,1.03,0.46,6.44,87,77,84,368,"Retro Studios","E",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Halo: Combat Evolved","XB",2001,"Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43,97,68,84,1283,"Bungie Software","M",15,"00s","Microsoft","6th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"The Elder Scrolls V: Skyrim","PS3",2011,"Role-Playing","Bethesda Softworks",2.55,2.6,0.25,1,6.41,92,16,62,2527,"Bethesda Game Studios","M",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Other"
"Pokémon Emerald Version","GBA",2004,"Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41,76,28,88,222,"Game Freak","E",12,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"Kingdom Hearts","PS2",2002,"Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4,85,46,86,597,"SquareSoft","E",14,"00s","SONY","6th Gen","SONY_PS","Square Enix","Japan","SONY"
"Halo 3: ODST","X360",2009,"Shooter","Microsoft Game Studios",4.34,1.34,0.06,0.61,6.34,83,94,69,1163,"Bungie Software, Bungie","M",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Red Dead Redemption","X360",2010,"Action","Take-Two Interactive",3.7,1.95,0.09,0.58,6.32,95,96,88,2316,"Rockstar San Diego","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega"
"Super Mario Sunshine","GC",2002,"Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,92,61,84,439,"Nintendo","E",14,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"World of Warcraft","PC",2004,"Role-Playing","Activision",0.08,6.21,0,0,6.29,93,57,71,2182,"Blizzard Entertainment","T",12,"00s","Microsoft","5th Gen","Misc","Activision Blizzard","US","Activision Blizzard"
"Driver","PS",1999,"Action","GT Interactive",3.11,2.8,0.02,0.33,6.27,87,22,79,78,"Reflections Interactive","T",17,"90s","SONY","5th Gen","SONY_PS","Other","Other","Other"
"Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.05,1.59,0.07,0.5,6.21,91,96,76,1504,"Epic Games","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Tencent","China","Microsoft"
"Kinect Sports","X360",2010,"Sports","Microsoft Game Studios",3.92,1.73,0.03,0.51,6.19,73,51,72,95,"Rare Ltd.","E10+",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Gears of War","X360",2006,"Shooter","Microsoft Game Studios",3.54,1.88,0.07,0.6,6.09,94,88,81,2295,"Epic Games","M",10,"00s","Microsoft","7th Gen","Microsoft_XBOX","Tencent","China","Microsoft"
"FIFA 15","PS4",2014,"Sports","Electronic Arts",0.8,4.33,0.05,0.9,6.08,82,47,55,988,"EA Sports","E",2,"10s","SONY","8th Gen","SONY_PS","EA","US","EA"
"Metal Gear Solid 2: Sons of Liberty","PS2",2001,"Action","Konami Digital Entertainment",2.45,2.01,0.87,0.72,6.05,96,42,85,1026,"KCEJ","M",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"Metal Gear Solid","PS",1998,"Action","Konami Digital Entertainment",3.18,1.83,0.78,0.24,6.03,94,20,92,918,"KCEJ","M",18,"90s","SONY","5th Gen","SONY_PS","Other","Other","Other"
"Metal Gear Solid 4: Guns of the Patriots","PS3",2008,"Action","Konami Digital Entertainment",2.63,1.71,0.83,0.82,5.99,94,82,85,3558,"Kojima Productions","M",8,"00s","SONY","7th Gen","SONY_PS","Other","Other","Other"
"Final Fantasy XII","PS2",2006,"Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95,92,64,74,972,"Square Enix","T",10,"00s","SONY","6th Gen","SONY_PS","Square Enix","Japan","Square Enix"
"The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.41,2.18,0.28,0.99,5.87,95,98,89,8003,"Naughty Dog","M",3,"10s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"LittleBigPlanet","PS3",2008,"Platform","Sony Computer Entertainment",2.8,1.98,0.17,0.87,5.82,95,85,66,5311,"SCE/WWS, Media Molecule","E",8,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Resident Evil 2","PS",1998,"Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82,89,13,90,364,"Capcom","M",18,"90s","SONY","5th Gen","SONY_PS","Other","Other","Other"
"Dragon Quest IX: Sentinels of the Starry Skies","DS",2009,"Role-Playing","Nintendo",0.63,0.67,4.35,0.15,5.78,87,65,86,197,"Level 5","E10+",7,"00s","Nintendo","7th Gen","Nintendo_DS","SONY","Japan","Nintendo"
"Tekken 2","PS",1996,"Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74,89,8,87,102,"Namco","T",20,"90s","SONY","5th Gen","SONY_PS","Namco","Japan","SONY"
"Destiny","PS4",2014,"Shooter","Activision",2.49,2.07,0.16,0.92,5.64,76,95,59,5380,"Bungie Software, Bungie","T",2,"10s","SONY","8th Gen","SONY_PS","Microsoft","US","Activision Blizzard"
"LEGO Star Wars: The Complete Saga","Wii",2007,"Action","LucasArts",3.57,1.55,0,0.51,5.64,80,17,87,62,"Traveller's Tales","E10+",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Other"
"Cooking Mama","DS",2006,"Simulation","505 Games",3.07,1.91,0.07,0.57,5.63,67,35,70,21,"Taito Corporation","E",10,"00s","Nintendo","7th Gen","Nintendo_DS","Square Enix","Japan","Other"
"Assassin's Creed II","PS3",2009,"Action","Ubisoft",2.54,1.93,0.21,0.86,5.55,91,70,84,1202,"Ubisoft Montreal","M",7,"00s","SONY","7th Gen","SONY_PS","Ubisoft","France","Ubisoft"
"Assassin's Creed","X360",2007,"Adventure","Ubisoft",3.28,1.64,0.07,0.56,5.54,81,77,75,1074,"Ubisoft Montreal","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","Ubisoft","France","Ubisoft"
"Forza Motorsport 3","X360",2009,"Racing","Microsoft Game Studios",2.99,1.9,0.1,0.5,5.49,92,90,78,516,"Turn 10","E",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Super Mario Advance","GBA",2001,"Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,84,19,76,41,"Nintendo","E",15,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"Monster Hunter Freedom Unite","PSP",2008,"Role-Playing","Capcom",0.47,0.55,4.13,0.34,5.48,81,48,85,124,"Capcom","T",8,"00s","SONY","7th Gen","SONY_PS","Other","Other","Other"
"Batman: Arkham City","PS3",2011,"Action","Warner Bros. Interactive Entertainment",2.71,1.85,0.11,0.81,5.48,96,42,84,2162,"Rocksteady Studios","T",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Other"
"Grand Theft Auto V","XOne",2014,"Action","Take-Two Interactive",2.81,2.19,0,0.47,5.48,97,14,77,764,"Rockstar North","M",2,"10s","Microsoft","8th Gen","Microsoft_XBOX","Other","Other","Sega"
"Mario Kart: Super Circuit","GBA",2001,"Racing","Nintendo",2.62,1.64,0.99,0.23,5.47,93,24,81,108,"Intelligent Systems","E",15,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"Crash Bandicoot: The Wrath of Cortex","PS2",2001,"Platform","Universal Interactive",2.07,2.29,0.24,0.82,5.42,66,22,69,156,"Traveller's Tales","E",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"Call of Duty: World at War","PS3",2008,"Shooter","Activision",2.73,1.83,0,0.83,5.39,85,45,74,409,"Treyarch","M",8,"00s","SONY","7th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard"
"Uncharted 4: A Thief's End","PS4",2016,"Shooter","Sony Computer Entertainment",1.85,2.5,0.19,0.85,5.38,93,113,77,7064,"Naughty Dog","T",0,"10s","SONY","8th Gen","SONY_PS","SONY","Japan","SONY"
