"Platform","Year_of_Release","Genre","Publisher","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","Year_since_Release","Decade","Platform_Company","Platform_Gen","Family_Platform","Main_Developer","Developer_Country","Main_Publisher","Region","Sales"
"PS",1997,"Role-Playing","Sony Computer Entertainment",92,20,90,1282,"SquareSoft","T",19,"90s","SONY","5th Gen","SONY_PS","Square Enix","Japan","SONY","NA_Sales",3.01
"X360",2012,"Shooter","Microsoft Game Studios",87,87,68,3260,"343 Industries","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",6.65
"PS",1999,"Racing","Sony Computer Entertainment",93,23,88,135,"Polyphony Digital","T",17,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",3.88
"Wii",2010,"Misc","Ubisoft",74,24,71,24,"Ubisoft","E10+",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft","NA_Sales",5.8
"PS3",2013,"Shooter","Activision",71,10,24,1047,"Infinity Ward","M",3,"10s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard","NA_Sales",4.1
"X360",2007,"Shooter","Activision",94,70,82,1320,"Infinity Ward","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard","NA_Sales",5.93
"3DS",2012,"Simulation","Nintendo",88,70,85,626,"Nintendo","E",4,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",2.03
"DS",2007,"Misc","Nintendo",72,27,76,85,"Hudson Soft","E",9,"00s","Nintendo","7th Gen","Nintendo_DS","Other","Other","Nintendo","NA_Sales",4.4
"X360",2011,"Role-Playing","Bethesda Softworks",96,89,82,3589,"Bethesda Game Studios","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other","NA_Sales",5.05
"PS4",2015,"Sports","Electronic Arts",82,42,41,896,"EA Sports","E",1,"10s","SONY","8th Gen","SONY_PS","EA","US","EA","NA_Sales",1.12
"XB",2004,"Shooter","Microsoft Game Studios",95,91,80,1218,"Bungie Software","M",12,"00s","Microsoft","6th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",6.82
"Wii",2010,"Misc","Nintendo",68,42,72,54,"Nd Cube","E",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Nintendo","NA_Sales",1.75
"Wii",2007,"Misc","Nintendo",62,41,61,190,"Hudson","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Nintendo","NA_Sales",3.74
"PS3",2012,"Action","Electronic Arts",88,37,64,348,"Electronic Arts","E",4,"10s","SONY","7th Gen","SONY_PS","EA","US","EA","NA_Sales",1.06
"PS2",2001,"Role-Playing","Sony Computer Entertainment",92,53,85,1056,"SquareSoft","T",15,"00s","SONY","6th Gen","SONY_PS","Square Enix","Japan","SONY","NA_Sales",2.91
"PC",2009,"Simulation","Electronic Arts",86,75,74,886,"The Sims Studio","T",7,"00s","Microsoft","5th Gen","Misc","Other","Other","EA","NA_Sales",0.99
"PS",1999,"Role-Playing","SquareSoft",90,24,84,644,"SquareSoft","T",17,"90s","SONY","5th Gen","SONY_PS","Square Enix","Japan","Square Enix","NA_Sales",2.28
"DS",2008,"Role-Playing","Nintendo",83,46,83,203,"Game Freak","E",8,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",2.76
"PSP",2005,"Action","Take-Two Interactive",88,65,74,451,"Rockstar Leeds","M",11,"00s","SONY","7th Gen","SONY_PS","Other","Other","Sega","NA_Sales",2.9
"PS4",2014,"Shooter","Activision",83,39,55,1443,"Sledgehammer Games","M",2,"10s","SONY","8th Gen","SONY_PS","Other","Other","Activision Blizzard","NA_Sales",2.81
"PS4",2016,"Sports","Electronic Arts",85,41,48,398,"EA Sports, EA Vancouver","E",0,"10s","SONY","8th Gen","SONY_PS","EA","US","EA","NA_Sales",0.66
"Wii",2010,"Platform","Nintendo",97,87,89,1854,"Nintendo EAD Tokyo","E",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",3.56
"X360",2008,"Shooter","Activision",84,84,74,580,"Treyarch","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Activision Blizzard","US","Activision Blizzard","NA_Sales",4.81
"X360",2011,"Shooter","Electronic Arts",84,57,72,2142,"EA DICE","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA","NA_Sales",4.46
"PS2",2003,"Racing","Electronic Arts",85,33,84,171,"EA Black Box","E",13,"00s","SONY","6th Gen","SONY_PS","EA","US","EA","NA_Sales",3.27
"Wii",2009,"Misc","Ubisoft",49,21,78,110,"Ubisoft Paris","E10+",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft","NA_Sales",3.48
"PS3",2011,"Shooter","Electronic Arts",85,38,73,1761,"EA DICE","M",5,"10s","SONY","7th Gen","SONY_PS","EA","US","EA","NA_Sales",2.85
"PS4",2015,"Role-Playing","Bethesda Softworks",87,58,63,4228,"Bethesda Game Studios","M",1,"10s","SONY","8th Gen","SONY_PS","Other","Other","Other","NA_Sales",2.53
"PS",1998,"Fighting","Sony Computer Entertainment",96,15,89,367,"Namco","T",18,"90s","SONY","5th Gen","SONY_PS","Namco","Japan","SONY","NA_Sales",3.27
"Wii",2006,"Action","Nintendo",95,73,88,1658,"Nintendo","T",10,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",3.74
"PS",1998,"Platform","Sony Computer Entertainment",91,12,87,432,"Naughty Dog","E",18,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",3.68
"WiiU",2014,"Racing","Nintendo",88,82,89,1599,"Nintendo","E",2,"10s","Nintendo","8th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",3.15
"GC",2001,"Fighting","Nintendo",92,38,89,568,"HAL Labs","T",15,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo","NA_Sales",4.41
"PS2",2004,"Racing","Electronic Arts",82,39,84,132,"EA Canada","E",12,"00s","SONY","6th Gen","SONY_PS","EA","US","EA","NA_Sales",2.71
"PS2",2002,"Shooter","Electronic Arts",88,29,83,135,"EA LA","T",14,"00s","SONY","6th Gen","SONY_PS","EA","US","EA","NA_Sales",2.93
"Wii",2012,"Misc","Ubisoft",74,10,71,28,"Ubisoft","E10+",4,"10s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft","NA_Sales",4.05
"X360",2008,"Shooter","Microsoft Game Studios",93,90,75,2739,"Epic Games","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Tencent","China","Microsoft","NA_Sales",4.15
"PS3",2011,"Action","Sony Computer Entertainment",92,97,81,3712,"Naughty Dog","T",5,"10s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",2.77
"PS3",2007,"Shooter","Activision",94,44,82,993,"Infinity Ward","M",9,"00s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard","NA_Sales",3.11
"PS3",2009,"Action","Sony Computer Entertainment",96,105,86,5187,"Naughty Dog","T",7,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",3.27
"DS",2005,"Misc","Nintendo",74,45,72,27,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",1.66
"PS3",2010,"Action","Take-Two Interactive",95,73,86,2456,"Rockstar San Diego","M",6,"00s","SONY","7th Gen","SONY_PS","Other","Other","Sega","NA_Sales",2.79
"PS3",2013,"Sports","Electronic Arts",86,37,41,576,"EA Canada","E",3,"10s","SONY","7th Gen","SONY_PS","EA","US","EA","NA_Sales",0.78
"PS3",2012,"Action","Ubisoft",85,41,67,1307,"Ubisoft","M",4,"10s","SONY","7th Gen","SONY_PS","Ubisoft","France","Ubisoft","NA_Sales",2.64
"Wii",2010,"Platform","Nintendo",87,77,84,368,"Retro Studios","E",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",3.17
"XB",2001,"Shooter","Microsoft Game Studios",97,68,84,1283,"Bungie Software","M",15,"00s","Microsoft","6th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",4.98
"PS3",2011,"Role-Playing","Bethesda Softworks",92,16,62,2527,"Bethesda Game Studios","M",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Other","NA_Sales",2.55
"GBA",2004,"Role-Playing","Nintendo",76,28,88,222,"Game Freak","E",12,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo","NA_Sales",2.57
"PS2",2002,"Role-Playing","Sony Computer Entertainment",85,46,86,597,"SquareSoft","E",14,"00s","SONY","6th Gen","SONY_PS","Square Enix","Japan","SONY","NA_Sales",3.64
"X360",2009,"Shooter","Microsoft Game Studios",83,94,69,1163,"Bungie Software, Bungie","M",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",4.34
"X360",2010,"Action","Take-Two Interactive",95,96,88,2316,"Rockstar San Diego","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega","NA_Sales",3.7
"GC",2002,"Platform","Nintendo",92,61,84,439,"Nintendo","E",14,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo","NA_Sales",4.01
"PC",2004,"Role-Playing","Activision",93,57,71,2182,"Blizzard Entertainment","T",12,"00s","Microsoft","5th Gen","Misc","Activision Blizzard","US","Activision Blizzard","NA_Sales",0.08
"PS",1999,"Action","GT Interactive",87,22,79,78,"Reflections Interactive","T",17,"90s","SONY","5th Gen","SONY_PS","Other","Other","Other","NA_Sales",3.11
"X360",2011,"Shooter","Microsoft Game Studios",91,96,76,1504,"Epic Games","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Tencent","China","Microsoft","NA_Sales",4.05
"X360",2010,"Sports","Microsoft Game Studios",73,51,72,95,"Rare Ltd.","E10+",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",3.92
"X360",2006,"Shooter","Microsoft Game Studios",94,88,81,2295,"Epic Games","M",10,"00s","Microsoft","7th Gen","Microsoft_XBOX","Tencent","China","Microsoft","NA_Sales",3.54
"PS4",2014,"Sports","Electronic Arts",82,47,55,988,"EA Sports","E",2,"10s","SONY","8th Gen","SONY_PS","EA","US","EA","NA_Sales",0.8
"PS2",2001,"Action","Konami Digital Entertainment",96,42,85,1026,"KCEJ","M",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other","NA_Sales",2.45
"PS",1998,"Action","Konami Digital Entertainment",94,20,92,918,"KCEJ","M",18,"90s","SONY","5th Gen","SONY_PS","Other","Other","Other","NA_Sales",3.18
"PS3",2008,"Action","Konami Digital Entertainment",94,82,85,3558,"Kojima Productions","M",8,"00s","SONY","7th Gen","SONY_PS","Other","Other","Other","NA_Sales",2.63
"PS2",2006,"Role-Playing","Square Enix",92,64,74,972,"Square Enix","T",10,"00s","SONY","6th Gen","SONY_PS","Square Enix","Japan","Square Enix","NA_Sales",1.88
"PS3",2013,"Action","Sony Computer Entertainment Europe",95,98,89,8003,"Naughty Dog","M",3,"10s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",2.41
"PS3",2008,"Platform","Sony Computer Entertainment",95,85,66,5311,"SCE/WWS, Media Molecule","E",8,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",2.8
"PS",1998,"Action","Virgin Interactive",89,13,90,364,"Capcom","M",18,"90s","SONY","5th Gen","SONY_PS","Other","Other","Other","NA_Sales",1.88
"DS",2009,"Role-Playing","Nintendo",87,65,86,197,"Level 5","E10+",7,"00s","Nintendo","7th Gen","Nintendo_DS","SONY","Japan","Nintendo","NA_Sales",0.63
"PS",1996,"Fighting","Sony Computer Entertainment",89,8,87,102,"Namco","T",20,"90s","SONY","5th Gen","SONY_PS","Namco","Japan","SONY","NA_Sales",2.26
"PS4",2014,"Shooter","Activision",76,95,59,5380,"Bungie Software, Bungie","T",2,"10s","SONY","8th Gen","SONY_PS","Microsoft","US","Activision Blizzard","NA_Sales",2.49
"Wii",2007,"Action","LucasArts",80,17,87,62,"Traveller's Tales","E10+",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Other","NA_Sales",3.57
"DS",2006,"Simulation","505 Games",67,35,70,21,"Taito Corporation","E",10,"00s","Nintendo","7th Gen","Nintendo_DS","Square Enix","Japan","Other","NA_Sales",3.07
"PS3",2009,"Action","Ubisoft",91,70,84,1202,"Ubisoft Montreal","M",7,"00s","SONY","7th Gen","SONY_PS","Ubisoft","France","Ubisoft","NA_Sales",2.54
"X360",2007,"Adventure","Ubisoft",81,77,75,1074,"Ubisoft Montreal","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","Ubisoft","France","Ubisoft","NA_Sales",3.28
"X360",2009,"Racing","Microsoft Game Studios",92,90,78,516,"Turn 10","E",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",2.99
"GBA",2001,"Platform","Nintendo",84,19,76,41,"Nintendo","E",15,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo","NA_Sales",3.14
"PSP",2008,"Role-Playing","Capcom",81,48,85,124,"Capcom","T",8,"00s","SONY","7th Gen","SONY_PS","Other","Other","Other","NA_Sales",0.47
"PS3",2011,"Action","Warner Bros. Interactive Entertainment",96,42,84,2162,"Rocksteady Studios","T",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Other","NA_Sales",2.71
"XOne",2014,"Action","Take-Two Interactive",97,14,77,764,"Rockstar North","M",2,"10s","Microsoft","8th Gen","Microsoft_XBOX","Other","Other","Sega","NA_Sales",2.81
"GBA",2001,"Racing","Nintendo",93,24,81,108,"Intelligent Systems","E",15,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo","NA_Sales",2.62
"PS2",2001,"Platform","Universal Interactive",66,22,69,156,"Traveller's Tales","E",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other","NA_Sales",2.07
"PS3",2008,"Shooter","Activision",85,45,74,409,"Treyarch","M",8,"00s","SONY","7th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard","NA_Sales",2.73
"PS4",2016,"Shooter","Sony Computer Entertainment",93,113,77,7064,"Naughty Dog","T",0,"10s","SONY","8th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",1.85
"PS3",2009,"Role-Playing","Square Enix",83,83,71,2483,"Square Enix","T",7,"00s","SONY","7th Gen","SONY_PS","Square Enix","Japan","Square Enix","NA_Sales",1.74
"PS",2000,"Role-Playing","SquareSoft",94,22,87,779,"SquareSoft","T",16,"90s","SONY","5th Gen","SONY_PS","Square Enix","Japan","Square Enix","NA_Sales",1.62
"X360",2012,"Action","Ubisoft",84,61,65,1196,"Ubisoft","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Ubisoft","France","Ubisoft","NA_Sales",3.13
"PS2",2003,"Role-Playing","Electronic Arts",85,45,64,400,"SquareSoft","T",13,"00s","SONY","6th Gen","SONY_PS","Square Enix","Japan","EA","NA_Sales",1.92
"XOne",2014,"Shooter","Activision",81,53,52,898,"Sledgehammer Games","M",2,"10s","Microsoft","8th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard","NA_Sales",3.22
"X360",2009,"Action","Ubisoft",90,82,86,1305,"Ubisoft Montreal","M",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Ubisoft","France","Ubisoft","NA_Sales",3.11
"WiiU",2012,"Platform","Nintendo",84,70,79,733,"Nintendo","E",4,"10s","Nintendo","8th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",2.3
"PS2",2004,"Role-Playing","Square Enix",89,63,86,245,"Level 5","T",12,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","Square Enix","NA_Sales",0.65
"DS",2007,"Puzzle","Nintendo",85,72,84,147,"Level 5","E",9,"00s","Nintendo","7th Gen","Nintendo_DS","SONY","Japan","Nintendo","NA_Sales",1.21
"X360",2012,"Action","Electronic Arts",90,48,59,403,"Electronic Arts","E",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA","NA_Sales",1.09
"PC",2012,"Role-Playing","Activision",88,86,38,9629,"Blizzard Entertainment","M",4,"10s","Microsoft","5th Gen","Misc","Activision Blizzard","US","Activision Blizzard","NA_Sales",2.44
"PS2",2003,"Shooter","Electronic Arts",68,30,74,100,"EA LA","T",13,"00s","SONY","6th Gen","SONY_PS","EA","US","EA","NA_Sales",1.98
"PS2",2006,"Misc","RedOctane",92,69,83,112,"Harmonix Music Systems","T",10,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other","NA_Sales",3.81
"X360",2010,"Role-Playing","Microsoft Game Studios",80,88,63,604,"Lionhead Studios","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",3.59
"PS3",2009,"Action","Capcom",84,76,73,667,"Capcom","M",7,"00s","SONY","7th Gen","SONY_PS","Other","Other","Other","NA_Sales",1.96
"DS",2007,"Action","Nintendo",90,57,78,416,"Nintendo","E",9,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",1.85
"PS3",2010,"Sports","Electronic Arts",89,51,78,233,"EA Sports","E",6,"00s","SONY","7th Gen","SONY_PS","EA","US","EA","NA_Sales",0.61
"PS",1996,"Action","Virgin Interactive",91,8,88,266,"Capcom","M",20,"90s","SONY","5th Gen","SONY_PS","Other","Other","Other","NA_Sales",2.05
"PSP",2006,"Action","Take-Two Interactive",86,50,78,150,"Rockstar Leeds","M",10,"00s","SONY","7th Gen","SONY_PS","Other","Other","Sega","NA_Sales",1.7
"PS",1999,"Sports","Activision",92,18,90,69,"Neversoft Entertainment","T",17,"90s","SONY","5th Gen","SONY_PS","Other","Other","Activision Blizzard","NA_Sales",3.42
"PS2",2007,"Misc","Activision",82,24,80,46,"Neversoft Entertainment, BudCat","T",9,"00s","SONY","6th Gen","SONY_PS","Other","Other","Activision Blizzard","NA_Sales",3.49
"Wii",2007,"Shooter","Nintendo",68,34,69,47,"Nintendo","T",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",3.05
"X360",2008,"Role-Playing","Bethesda Softworks",93,84,83,1655,"Bethesda Game Studios","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other","NA_Sales",3.4
"PS3",2007,"Action","Sony Computer Entertainment",88,66,79,2306,"Naughty Dog, SCE/WWS","T",9,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",2.31
"PS2",2005,"Sports","Electronic Arts",88,29,78,121,"EA Sports","E",11,"00s","SONY","6th Gen","SONY_PS","EA","US","EA","NA_Sales",3.98
"PC",2010,"Strategy","Activision",93,82,80,3052,"Blizzard Entertainment","T",6,"00s","Microsoft","5th Gen","Misc","Activision Blizzard","US","Activision Blizzard","NA_Sales",2.57
"PS3",2007,"Adventure","Ubisoft",81,40,71,769,"Ubisoft Montreal","M",9,"00s","SONY","7th Gen","SONY_PS","Ubisoft","France","Ubisoft","NA_Sales",1.91
"PS3",2010,"Action","Sony Computer Entertainment",92,101,85,2633,"SCE Santa Monica","M",6,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",2.74
"PS",1999,"Racing","Sony Computer Entertainment",88,20,88,233,"Naughty Dog","E",17,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",2.57
"DS",2007,"Action","LucasArts",80,9,52,46,"TT Fusion","E",9,"00s","Nintendo","7th Gen","Nintendo_DS","Other","Other","Other","NA_Sales",2.83
